"SN","New MeterParam"
"18-262-2469-i-45-2-Meter-01","NewWallStreet-Unit 204-kwh"
"18-262-2469-i-45-2-Meter-02","NewWallStreet-Unit 205-kwh"
"18-262-2469-i-45-2-Meter-03","NewWallStreet-Unit 206-kwh"
"18-262-2469-i-45-2-Meter-04","NewWallStreet-Unit 207-kwh"
"18-262-2469-i-45-2-Meter-09","NewWallStreet-Unit 208-kwh"
"18-262-2469-i-45-2-Meter-10","NewWallStreet-Unit 209-kwh"
"18-262-2469-i-45-2-Meter-11","NewWallStreet-Unit 210-kwh"
"18-262-2469-i-45-2-Meter-14","NewWallStreet-Unit 211-kwh"
"18-262-2469-i-45-2-Meter-15","NewWallStreet-Unit 212-kwh"
"18-262-2469-i-45-2-Meter-16","NewWallStreet-Unit 213-kwh"
"18-262-2469-i-45-2-Meter-17","NewWallStreet-Unit 214-kwh"
"18-262-2469-i-45-2-Meter-18","NewWallStreet-Unit 215-kwh"
"18-262-2469-i-45-2-Meter-19","NewWallStreet-Unit 201-kwh"
"18-262-2469-i-45-2-Meter-23","NewWallStreet-Unit 202-kwh"
"18-262-2469-i-45-2-Meter-24","NewWallStreet-Unit 203-kwh"
"18-262-2469-i-45-3-Meter-01","NewWallStreet-Unit 304-kwh"
"18-262-2469-i-45-3-Meter-02","NewWallStreet-Unit 305-kwh"
"18-262-2469-i-45-3-Meter-03","NewWallStreet-Unit 306-kwh"
"18-262-2469-i-45-3-Meter-04","NewWallStreet-Unit 307-kwh"
"18-262-2469-i-45-3-Meter-09","NewWallStreet-Unit 308-kwh"
"18-262-2469-i-45-3-Meter-10","NewWallStreet-Unit 309-kwh"
"18-262-2469-i-45-3-Meter-11","NewWallStreet-Unit 310-kwh"
"18-262-2469-i-45-3-Meter-14","NewWallStreet-Unit 311-kwh"
"18-262-2469-i-45-3-Meter-15","NewWallStreet-Unit 312-kwh"
"18-262-2469-i-45-3-Meter-16","NewWallStreet-Unit 313-kwh"
"18-262-2469-i-45-3-Meter-17","NewWallStreet-Unit 314-kwh"
"18-262-2469-i-45-3-Meter-18","NewWallStreet-Unit 315-kwh"
"18-262-2469-i-45-3-Meter-19","NewWallStreet-Unit 301-kwh"
"18-262-2469-i-45-3-Meter-23","NewWallStreet-Unit 302-kwh"
"18-262-2469-i-45-3-Meter-24","NewWallStreet-Unit 303-kwh"
